Age,Spending
25.4669874217,6.885059207
23.5327706084,5.7145141643
24.0483502617,6.1574440394
25.6883892123,6.2338431283
28.3569162162,7.5632095496
24.3119909507,7.7526670954
25.0312639699,6.0888939202
24.6570833246,4.9740584004
27.7236508428,5.8003470052
24.4085924717,4.6986280914
25.1845982611,4.037511916
24.4131786885,5.0058480176
22.5479531851,6.1708366018
23.004303874,4.8357321456
23.3906452882,4.5273647211
28.4963384084,6.4004451234
26.4031391734,4.9115481726
25.7160952951,7.4955519454
24.715245605,6.7361852814
24.6161677182,5.1966056157
25.5030179958,6.0339565948
22.8498211877,5.063550966
23.9230386638,5.7049386456
24.2214479838,7.6840129527
26.6334955946,6.7088156951
24.5662177526,7.5427004609
23.5232316523,5.0811411939
25.2073693948,4.3961319495
24.85417958,4.831803262
23.8887049067,5.0580611387
25.2408031842,6.9958707639
24.5098209925,4.589087493
24.9001897282,9.1355232967
26.0150809433,5.6852780449
24.939744045,4.0761944401
22.9329627952,5.0469908653
23.9035730094,5.3579046118
25.2655579606,7.3239622162
25.9933265857,8.0859237999
23.7274633529,5.3345206888
24.5624951977,6.2419400073
24.0770787528,4.1914882587
25.500875295,6.064678752
25.7442387546,5.3731627895
25.6595462306,5.709234315
24.924999425,6.9538435022
25.7267404373,6.8024053029
26.6746940751,7.5310300914
24.0803212389,7.6992868978
24.6749940322,7.2624002588
25.9412371357,6.6724470316
25.3660886255,5.9709726128
26.9925937877,7.4221228324
27.9607561151,6.9993887561
23.9982444645,5.8080725654
22.2258636178,4.1232706723
24.0437734166,4.4738583147
28.3288746443,5.8873349708
23.9935024007,5.5365386989
25.5254310735,5.9025353718
25.1835485743,8.2625852327
